Company,%Back
walgreens,3
wine shop,6
macys,5
overstick,5
jcpenny,7
expedia,5
priceline,8
sephore,4
ulta,6
hsn,3
gap,4
gap factory,5
j.crew,6
vistaprint 8,8
anthropologie,5
belk,5
best western,7
michaels,6
academny,5
american eagle,6
bloomingdales,6
lulus,5
dyson,2
hotwire,5
l.l.bean,5
adidas,8
shop disney,5
j.crew factory,6
asos,4
saks fifth avenue,5
advance auto parts,6
madewell,8
paramount+,12
ltd commodities,6
travelocity,5
the lakeside collection,5
orbitz,5
newark,6
edible arrangements,5
custom ink,6
jtv,5
pandora,6
oneill,5
urban outfitters,5
j jill,5
gnc,6
mk,6
finish line,8
vitamin shoppe,5
mattress firm,7
avenue,8
puritans pride,6
glossier,10
tory burch,9
new york & company,10
vineyard vines,5
udemy,12
saatva,5
sonos,5
sally beauty,6
merrell,7
bokks brothers,8
hydrow,7
boscov's,7
kate spade,2
levi's,12
ross simons,5
1800 contacts,8
ebags,12
autodesk,9
l'ange,8
norton,30
aeropostale,10
tarte,10
boohoo,5
zagg,20
firstleaf wine club,21
oakley,6
robert graham,7
the gallery collection,8
olay,10
lord & taylor,5
ray * ban,6
fossil,7
journeys,8
sperry,7
irobot,6
california cowboy,6
buffalo wild wings,6
athletic brewing co,5
rockville,5
elysium,5
eve's addiction,15
colorescience,5
david's bridal,5
brook&york,8
fat brain toys,5
silk maison,12
fish hippie,5
arctic cool,6
joah,8
chilisleep,6
gentle herd,12
koolaburra,4
hydro flask,4
biossance,6
travelpro,5
jd,6
defenage,5
bring the salon home kiss,8
svs sound revolution,5
rvshare,5
chirp.,8
skis.copm,6
nasty gal,6
mcaffe,50
h&r block,8
stio,4
bergdorf goodman,5
perricone md,10
saks off 5th,5
urbanstems,18
l'occitane,5
nordvpn,45
godiva,10
alo,8
first aid beauty,7
everlywell,6
teleflora,10
jos. a. bank,4
boss,8
aqusana,10
darn rough vermont,5
contactsdirect,8
mytheresa,6
magazine store,20
sunglass hut,6
myprotein,10
kate spade,5
surfshark,35
rag & bone,8
gorjana,8
grove collaborative,18
mtnops,5
taxact,5
lenscrafters,12
dockers,8
huk,7
born,8
u beauty,16
clarks,10
pfaltzgraff,8
onnit,5
fresh,8
flexjobs,7
nautica,8
partylite,8
meater,8
feetures,5
pier 1,2
natori,8
timex,8
glassesshop,10
twist by ouidad,4
trx,5
kiierr,8
target optical,7
life extension,6
lugless,10
camelbak,8
nap,15
persol,5
bcp,6
pentair pelican,12
further food,9
nest new york,8
boxraw,8
volition,14
greenwich st. jewelers,8
blue sky environments interior decor,8